ano,disciplina,raca_cor,value,presenca,cont_presenca,nota,cont_nota
2010,CH,Amarela,*,-,0,Sem nota,24850
2010,CH,Amarela,A,Falta,24716,Acima de 800,182
2010,CH,Amarela,B,Presença,74109,Entre 800 e 700,3388
2010,CH,Amarela,C,Eliminação,134,Entre 700 e 600,18784
2010,CH,Amarela,D,-,0,Entre 600 e 500,31551
2010,CH,Amarela,E,-,0,Entre 500 e 400,16167
2010,CH,Amarela,F,-,0,Abaixo de 400,4037
2010,CH,Branca,*,-,1,Sem nota,493360
2010,CH,Branca,A,Falta,491246,Acima de 800,3737
2010,CH,Branca,B,Presença,1491519,Entre 800 e 700,81000
2010,CH,Branca,C,Eliminação,2113,Entre 700 e 600,422340
2010,CH,Branca,D,-,0,Entre 600 e 500,614459
2010,CH,Branca,E,-,0,Entre 500 e 400,300047
2010,CH,Branca,F,-,0,Abaixo de 400,69936
2010,CH,Indígena,*,-,0,Sem nota,9018
2010,CH,Indígena,A,Falta,8958,Acima de 800,16
2010,CH,Indígena,B,Presença,21708,Entre 800 e 700,322
2010,CH,Indígena,C,Eliminação,60,Entre 700 e 600,3278
2010,CH,Indígena,D,-,0,Entre 600 e 500,8848
2010,CH,Indígena,E,-,0,Entre 500 e 400,7135
2010,CH,Indígena,F,-,0,Abaixo de 400,2109
2010,CH,Parda,*,-,1,Sem nota,501322
2010,CH,Parda,A,Falta,498682,Acima de 800,1173
2010,CH,Parda,B,Presença,1299235,Entre 800 e 700,33265
2010,CH,Parda,C,Eliminação,2639,Entre 700 e 600,267685
2010,CH,Parda,D,-,0,Entre 600 e 500,545001
2010,CH,Parda,E,-,0,Entre 500 e 400,355905
2010,CH,Parda,F,-,0,Abaixo de 400,96206
2010,CH,Preta,*,-,0,Sem nota,163433
2010,CH,Preta,A,Falta,162620,Acima de 800,190
2010,CH,Preta,B,Presença,378778,Entre 800 e 700,8365
2010,CH,Preta,C,Eliminação,813,Entre 700 e 600,82220
2010,CH,Preta,D,-,0,Entre 600 e 500,161735
