ano,serie,raca_cor,disciplina,value,escola_publica,escola_publica_contagem,regiao,regiao_contagem,sexo,sexo_contagem,escolaridade_agrupado,escolaridade_mae,escolaridade_pai,responsaveis_comparecem_reuniao_pais,quantidade_agrupado,possui_casa_dormitorio,possui_computador,possui_geladeira,possui_tv,possui_automovel,possui_casa_banheiro,possui_freezer,possui_maquina_lavar_roupa,evasao_escolar_ate_final_ano,rede,reprovacao,possui_trabalho_agrupado,possui_trabalho,tempo_lazer_agrupado,tempo_lazer,trabalho_domestico_agrupado,tempo_trabalho_domestico,desempenho_aluno,desempenho_aluno_contagem
2013,5,Amarela,LP,*,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,218
2013,5,Amarela,LP,.,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,5,Amarela,LP,A,Não,1860,Norte,9330,Masculino,41866,EB incompleta,14682,13800.0,49226,Não,1782,33784,2772,5312,45474,2606,60814,18086,74994,59512,57468,Não,68934,Sim,6274,Não,35268,Avançado,6283
2013,5,Amarela,LP,B,Sim,88974,Nordeste,29860,Feminino,44802,EB incompleta,12884,8890.0,26988,Sim,12682,36730,69650,32350,30406,58374,21568,56694,7130,10388,18682,Sim,15180,Não,26182,Não,19438,Proficiente,12264
2013,5,Amarela,LP,C,-,0,Centro-Oeste,33808,-,0,EB incompleta,9362,8468.0,9222,Sim,33684,11032,11698,28468,8360,18780,2864,10560,2622,13802,7678,0,0,Não,18788,Não,6584,Básico,15684
2013,5,Amarela,LP,D,-,0,Sudeste,9688,-,0,EB completa,11804,8586.0,0,Sim,27058,3728,2388,12924,2498,4802,1338,1828,0,0,0,0,0,Não,33108,Não,7244,Insuficiente,10968
2013,5,Amarela,LP,E,-,0,Sul,8148,-,0,EB completa,9676,8930.0,0,Sim,10884,1894,852,6102,1480,1926,870,934,0,0,0,0,0,0,0,Sim,15706,-,0
2013,5,Amarela,LP,F,-,0,-,0,-,0,ES completo,28552,37346.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,5,Branca,LP,*,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1953
2013,5,Branca,LP,.,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
